2026-04-14 06:23:29 | include.extract.google_sheets | INFO | [line:27] | Fetching from Google Sheet: 164vMPKEZARKeGf1AHyJl33gmkbtUpPfz00hSWd2x1io | Range: Sheet1!A1:F1000
2026-04-14 06:23:31 | include.utils.write_to_s3 | INFO | [line:47] | Successfully wrote 12 rows to s3://supplychain360-raw-dev/raw/suppliers/source_object=suppliers/data.parquet
2026-04-14 06:23:31 | include.extract.google_sheets | INFO | [line:54] | Successfully extracted 800 rows.
2026-04-14 06:23:31 | include.load.snowflake_loader | ERROR | [line:38] | Snowflake Load Error for suppliers: Password was given but private key is not encrypted.
2026-04-14 06:23:31 | include.load.ingest_s3_datasets | ERROR | [line:47] | Failed to ingest S3 dataset suppliers: Password was given but private key is not encrypted.
2026-04-14 06:23:31 | include.load.ingest_s3_datasets | INFO | [line:24] | Processing S3 Dataset: warehouses
2026-04-14 06:23:31 | include.extract.fetch_s3 | INFO | [line:24] | Fetching csv data from s3://supplychain360-data/raw/warehouses/warehouses.csv
2026-04-14 06:23:31 | include.extract.postgres_sales | INFO | [line:89] | Discovered 7 sales tables.
2026-04-14 06:23:31 | include.load.ingest_store_sales | WARNING | [line:41] | Could not fetch metadata from Snowflake (likely table doesn't exist): Password was given but private key is not encrypted.
2026-04-14 06:23:31 | include.load.ingest_store_sales | INFO | [line:64] | Processing sales_2026_03_10...
2026-04-14 06:23:31 | include.extract.postgres_sales | INFO | [line:137] | Fetching source sales table public.sales_2026_03_10
2026-04-14 06:23:32 | include.utils.write_to_s3 | INFO | [line:47] | Successfully wrote 800 rows to s3://supplychain360-raw-dev/raw/master_data/store_locations.parquet
2026-04-14 06:23:32 | include.utils.write_to_s3 | INFO | [line:47] | Successfully wrote 10 rows to s3://supplychain360-raw-dev/raw/warehouses/source_object=warehouses/data.parquet
2026-04-14 06:23:32 | include.load.snowflake_loader | ERROR | [line:38] | Snowflake Load Error for warehouses: Password was given but private key is not encrypted.
2026-04-14 06:23:32 | include.load.ingest_s3_datasets | ERROR | [line:47] | Failed to ingest S3 dataset warehouses: Password was given but private key is not encrypted.
2026-04-14 06:23:32 | include.load.ingest_s3_datasets | INFO | [line:24] | Processing S3 Dataset: products
2026-04-14 06:23:32 | include.extract.fetch_s3 | INFO | [line:24] | Fetching csv data from s3://supplychain360-data/raw/products/products.csv
2026-04-14 06:23:34 | include.utils.write_to_s3 | INFO | [line:47] | Successfully wrote 63 rows to s3://supplychain360-raw-dev/raw/products/source_object=products/data.parquet
2026-04-14 06:23:34 | include.load.snowflake_loader | ERROR | [line:38] | Snowflake Load Error for products: Password was given but private key is not encrypted.
2026-04-14 06:23:34 | include.load.ingest_s3_datasets | ERROR | [line:47] | Failed to ingest S3 dataset products: Password was given but private key is not encrypted.
2026-04-14 06:23:34 | include.load.ingest_s3_datasets | INFO | [line:24] | Processing S3 Dataset: inventory
2026-04-14 06:23:34 | include.extract.fetch_s3 | INFO | [line:24] | Fetching csv data from s3://supplychain360-data/raw/inventory/
2026-04-14 06:23:36 | include.utils.write_to_s3 | INFO | [line:47] | Successfully wrote 56100 rows to s3://supplychain360-raw-dev/raw/inventory/source_object=inventory/data.parquet
2026-04-14 06:23:36 | include.load.snowflake_loader | ERROR | [line:38] | Snowflake Load Error for inventory: Password was given but private key is not encrypted.
2026-04-14 06:23:36 | include.load.ingest_s3_datasets | ERROR | [line:47] | Failed to ingest S3 dataset inventory: Password was given but private key is not encrypted.
2026-04-14 06:23:36 | include.load.ingest_s3_datasets | INFO | [line:24] | Processing S3 Dataset: shipments
2026-04-14 06:23:36 | include.extract.fetch_s3 | INFO | [line:24] | Fetching json data from s3://supplychain360-data/raw/shipments/
2026-04-14 06:23:45 | include.extract.postgres_sales | INFO | [line:148] | Fetched 200000 rows and 11 columns from sales_2026_03_10
2026-04-14 06:23:46 | include.load.ingest_store_sales | ERROR | [line:85] | Failed to ingest sales_2026_03_10: ("Expected bytes, got a 'UUID' object", 'Conversion failed for column transaction_id with type object')
2026-04-14 06:23:46 | include.load.ingest_store_sales | INFO | [line:64] | Processing sales_2026_03_11...
2026-04-14 06:23:46 | include.extract.postgres_sales | INFO | [line:137] | Fetching source sales table public.sales_2026_03_11
2026-04-14 06:30:03 | include.utils.retry | WARNING | [line:30] | (psycopg2.OperationalError) SSL SYSCALL error: EOF detected

[SQL: SELECT * FROM "public"."sales_2026_03_11"]
(Background on this error at: https://sqlalche.me/e/20/e3q8), Retrying in 5 seconds...
2026-04-14 06:30:08 | include.extract.postgres_sales | INFO | [line:137] | Fetching source sales table public.sales_2026_03_11
2026-04-14 06:30:44 | include.extract.postgres_sales | INFO | [line:148] | Fetched 200000 rows and 11 columns from sales_2026_03_11
2026-04-14 06:30:44 | include.utils.write_to_s3 | INFO | [line:47] | Successfully wrote 350000 rows to s3://supplychain360-raw-dev/raw/shipments/source_object=shipments/data.parquet
2026-04-14 06:30:45 | include.load.snowflake_loader | ERROR | [line:38] | Snowflake Load Error for shipments: Password was given but private key is not encrypted.
2026-04-14 06:30:45 | include.load.ingest_s3_datasets | ERROR | [line:47] | Failed to ingest S3 dataset shipments: Password was given but private key is not encrypted.
2026-04-14 06:30:47 | include.load.ingest_store_sales | ERROR | [line:85] | Failed to ingest sales_2026_03_11: ("Expected bytes, got a 'UUID' object", 'Conversion failed for column transaction_id with type object')
2026-04-14 06:30:47 | include.load.ingest_store_sales | INFO | [line:64] | Processing sales_2026_03_12...
2026-04-14 06:30:47 | include.extract.postgres_sales | INFO | [line:137] | Fetching source sales table public.sales_2026_03_12
2026-04-14 06:31:03 | include.extract.postgres_sales | INFO | [line:148] | Fetched 200000 rows and 11 columns from sales_2026_03_12
2026-04-14 06:31:04 | include.load.ingest_store_sales | ERROR | [line:85] | Failed to ingest sales_2026_03_12: ("Expected bytes, got a 'UUID' object", 'Conversion failed for column transaction_id with type object')
2026-04-14 06:31:04 | include.load.ingest_store_sales | INFO | [line:64] | Processing sales_2026_03_13...
2026-04-14 06:31:04 | include.extract.postgres_sales | INFO | [line:137] | Fetching source sales table public.sales_2026_03_13
2026-04-14 06:31:17 | include.extract.postgres_sales | INFO | [line:148] | Fetched 200000 rows and 11 columns from sales_2026_03_13
2026-04-14 06:31:18 | include.load.ingest_store_sales | ERROR | [line:85] | Failed to ingest sales_2026_03_13: ("Expected bytes, got a 'UUID' object", 'Conversion failed for column transaction_id with type object')
2026-04-14 06:31:18 | include.load.ingest_store_sales | INFO | [line:64] | Processing sales_2026_03_14...
2026-04-14 06:31:18 | include.extract.postgres_sales | INFO | [line:137] | Fetching source sales table public.sales_2026_03_14
2026-04-14 06:31:28 | include.extract.postgres_sales | INFO | [line:148] | Fetched 200000 rows and 11 columns from sales_2026_03_14
2026-04-14 06:31:29 | include.load.ingest_store_sales | ERROR | [line:85] | Failed to ingest sales_2026_03_14: ("Expected bytes, got a 'UUID' object", 'Conversion failed for column transaction_id with type object')
2026-04-14 06:31:29 | include.load.ingest_store_sales | INFO | [line:64] | Processing sales_2026_03_15...
2026-04-14 06:31:29 | include.extract.postgres_sales | INFO | [line:137] | Fetching source sales table public.sales_2026_03_15
2026-04-14 06:31:42 | include.extract.postgres_sales | INFO | [line:148] | Fetched 200000 rows and 11 columns from sales_2026_03_15
2026-04-14 06:31:43 | include.load.ingest_store_sales | ERROR | [line:85] | Failed to ingest sales_2026_03_15: ("Expected bytes, got a 'UUID' object", 'Conversion failed for column transaction_id with type object')
2026-04-14 06:31:43 | include.load.ingest_store_sales | INFO | [line:64] | Processing sales_2026_03_16...
2026-04-14 06:31:43 | include.extract.postgres_sales | INFO | [line:137] | Fetching source sales table public.sales_2026_03_16
2026-04-14 06:31:56 | include.extract.postgres_sales | INFO | [line:148] | Fetched 200000 rows and 11 columns from sales_2026_03_16
2026-04-14 06:31:57 | include.load.ingest_store_sales | ERROR | [line:85] | Failed to ingest sales_2026_03_16: ("Expected bytes, got a 'UUID' object", 'Conversion failed for column transaction_id with type object')
2026-04-14 07:02:01 | include.load.ingest_store_sales | INFO | [line:50] | Starting Incremental Sales Ingestion to Snowflake
2026-04-14 07:02:01 | include.extract.postgres_sales | INFO | [line:71] | Listing sales tables from source schema public
2026-04-14 07:02:01 | include.load.ingest_s3_datasets | INFO | [line:24] | Processing S3 Dataset: suppliers
2026-04-14 07:02:01 | include.extract.fetch_s3 | INFO | [line:24] | Fetching csv data from s3://supplychain360-data/raw/suppliers/suppliers.csv
2026-04-14 07:02:01 | include.load.supplychain_ingestion | INFO | [line:13] | Starting Master Data Ingestion (Google Sheets)...
2026-04-14 07:02:01 | include.extract.google_sheets | INFO | [line:27] | Fetching from Google Sheet: 164vMPKEZARKeGf1AHyJl33gmkbtUpPfz00hSWd2x1io | Range: Sheet1!A1:F1000
2026-04-14 07:02:01 | include.extract.google_sheets | ERROR | [line:58] | Error extracting from Google Sheets: [Errno 2] No such file or directory: '/opt/airflow/service_account.json'
2026-04-14 07:02:01 | include.utils.retry | WARNING | [line:30] | [Errno 2] No such file or directory: '/opt/airflow/service_account.json', Retrying in 5 seconds...
2026-04-14 07:02:04 | include.extract.postgres_sales | INFO | [line:89] | Discovered 7 sales tables.
2026-04-14 07:02:04 | include.load.ingest_store_sales | WARNING | [line:41] | Could not fetch metadata from Snowflake (likely table doesn't exist): Password was given but private key is not encrypted.
2026-04-14 07:02:04 | include.load.ingest_store_sales | INFO | [line:64] | Processing sales_2026_03_10...
2026-04-14 07:02:04 | include.extract.postgres_sales | INFO | [line:137] | Fetching source sales table public.sales_2026_03_10
2026-04-14 07:02:04 | include.utils.write_to_s3 | INFO | [line:47] | Successfully wrote 12 rows to s3://supplychain360-raw-dev/raw/suppliers/source_object=suppliers/data.parquet
2026-04-14 07:02:04 | include.load.snowflake_loader | ERROR | [line:38] | Snowflake Load Error for suppliers: Password was given but private key is not encrypted.
2026-04-14 07:02:04 | include.load.ingest_s3_datasets | ERROR | [line:47] | Failed to ingest S3 dataset suppliers: Password was given but private key is not encrypted.
2026-04-14 07:02:04 | include.load.ingest_s3_datasets | INFO | [line:24] | Processing S3 Dataset: warehouses
2026-04-14 07:02:04 | include.extract.fetch_s3 | INFO | [line:24] | Fetching csv data from s3://supplychain360-data/raw/warehouses/warehouses.csv
2026-04-14 07:02:05 | include.utils.write_to_s3 | INFO | [line:47] | Successfully wrote 10 rows to s3://supplychain360-raw-dev/raw/warehouses/source_object=warehouses/data.parquet
2026-04-14 07:02:05 | include.load.snowflake_loader | ERROR | [line:38] | Snowflake Load Error for warehouses: Password was given but private key is not encrypted.
2026-04-14 07:02:05 | include.load.ingest_s3_datasets | ERROR | [line:47] | Failed to ingest S3 dataset warehouses: Password was given but private key is not encrypted.
2026-04-14 07:02:05 | include.load.ingest_s3_datasets | INFO | [line:24] | Processing S3 Dataset: products
2026-04-14 07:02:05 | include.extract.fetch_s3 | INFO | [line:24] | Fetching csv data from s3://supplychain360-data/raw/products/products.csv
